year,crop,month,rainfall,price
20,1,9,1266.7,3000
20,1,10,3252.4,3200
20,1,11,3252.4,3200
20,1,12,3252.4,3200
21,1,1,3252.4,3400
21,1,2,3252.4,3650
21,1,3,3818.2,3800
21,1,4,3818.2,3600
21,1,5,3818.2,3600
21,1,6,3818.2,3300
21,1,7,3818.2,3200
21,1,8,3818.2,3200
21,1,9,3818.2,3100
21,1,10,3818.2,3000
21,1,11,3818.2,2600
21,1,12,3818.2,2500
22,1,1,3818.2,3500
22,1,2,3818.2,2900
22,1,3,3818.2,2700
22,1,4,3818.2,3500
22,1,5,3818.2,3500
22,1,6,3818.2,3400
22,1,7,3818.2,3500
22,1,8,3818.2,3400
22,1,9,3818.2,3600
22,1,10,3818.2,3600
22,1,11,3818.2,4000
22,1,12,3818.2,3800
16,2,1,1,1650
16,2,2,2,1650
16,2,3,3,1550
16,2,4,4,1700
16,2,5,5,1700
16,2,6,6,1700
16,2,7,7,1700
16,2,8,8,1700
16,2,9,9,1650
16,2,10,10,1650
16,2,11,11,1850
16,2,12,12,1700
17,2,1,1,1500
17,2,2,2,1400
17,2,3,3,1400
17,2,4,4,1400
17,2,5,5,1350
17,2,6,6,1400
17,2,7,7,1300
17,2,8,8,1300
17,2,9,9,1250
17,2,10,10,1450
17,2,11,11,1600
17,2,12,12,1450
18,2,1,1,1250
18,2,2,2,1350
18,2,3,3,1300
18,2,4,4,1400
18,2,5,5,1300
18,2,6,6,1350
18,2,7,7,1300
18,2,8,8,1550
18,2,9,9,1550
18,2,10,10,2050
18,2,11,11,2100
18,2,12,12,1900
19,2,1,1,1750
19,2,2,2,1950
19,2,3,3,2200
19,2,4,4,2350
19,2,5,5,2400
19,2,6,6,2350
19,2,7,7,2400
19,2,8,8,2150
19,2,9,9,2100
19,2,10,10,1850
19,2,11,11,2200
19,2,12,12,2000
20,2,1,1,2100
20,2,2,2,2300
20,2,3,3,1800
20,2,4,4,1400
20,2,5,5,1600
20,2,6,6,1550
20,2,7,7,1350
20,2,8,8,1400
20,2,9,9,1450
20,2,10,10,1550
20,2,11,11,1550
20,2,12,12,1450
21,2,1,1,1400
21,2,2,2,1350
21,2,3,3,1550
21,2,4,4,1400
21,2,5,5,1350
21,2,6,6,1500
21,2,7,7,1800
21,2,8,8,1650
21,2,9,9,1550
21,2,10,10,1600
21,2,11,11,1500
21,2,12,12,1550
22,2,1,1,1800
22,2,2,2,1750
22,2,3,3,1950
22,2,4,4,2000
22,2,5,5,1850
22,2,6,6,2150
22,2,7,7,2200
22,2,8,8,2300
22,2,9,9,2000
22,2,10,10,2700
22,2,11,11,2400
22,2,12,12,2000
16,3,1,2051.4,1350
16,3,2,2051.4,1370
16,3,3,2051.4,1405
16,3,4,2051.4,1360
16,3,5,2051.4,1364
16,3,6,2051.4,1545
16,3,7,2051.4,1600
16,3,8,2051.4,1700
16,3,9,2051.4,1700
16,3,10,2051.4,1232
16,3,11,2051.4,1330
16,3,12,2051.4,1288
17,3,1,2051.4,1325
17,3,2,2051.4,1322
17,3,3,2051.4,1288
17,3,4,2051.4,1337
17,3,5,2051.4,1340
17,3,6,2051.4,1365
17,3,7,2051.4,1411
17,3,8,2051.4,1390
17,3,9,2051.4,1285
17,3,10,2051.4,1151
17,3,11,2051.4,1030
17,3,12,2051.4,1010
18,3,1,2051.4,1050
18,3,2,2051.4,1096
18,3,3,2051.4,1110
18,3,4,1266.7,1170
18,3,5,1266.7,1153
18,3,6,1266.7,1215
18,3,7,1266.7,1250
18,3,8,1266.7,1352
18,3,9,1266.7,1372
18,3,10,1266.7,1332
18,3,11,1266.7,1435
18,3,12,1266.7,1600
19,3,1,1266.7,1820
19,3,2,1266.7,1888
19,3,3,1266.7,1990
19,3,4,1266.7,2080
19,3,5,1266.7,1950
19,3,6,1266.7,2045
19,3,7,1266.7,2220
19,3,8,1266.7,2180
19,3,9,1266.7,2225
19,3,10,1266.7,1971
19,3,11,1266.7,1840
19,3,12,1266.7,2050
20,3,1,1266.7,1765
20,3,2,1266.7,1505
20,3,3,1266.7,1150
20,3,4,1266.7,1175
20,3,5,1266.7,1160
20,3,6,1266.7,1180
20,3,7,1266.7,1150
20,3,8,1266.7,1144
20,3,9,1266.7,1150
20,3,10,3252.4,1150
20,3,11,3252.4,1550
20,3,12,3252.4,1285
21,3,1,3252.4,1300
21,3,2,3252.4,1310
21,3,3,3818.2,1310
21,3,4,3818.2,1315
21,3,5,3818.2,1465
21,3,6,3818.2,1655
21,3,7,3818.2,1804
21,3,8,3818.2,1770
21,3,9,3818.2,1740
21,3,10,3818.2,1560
21,3,11,3818.2,1570
21,3,12,3818.2,1524
22,3,1,3818.2,1960
22,3,2,3818.2,1950
22,3,3,3818.2,2101
22,3,4,3818.2,2130
22,3,5,3818.2,2170
22,3,6,3818.2,2158
22,3,7,3818.2,2240
22,3,8,3818.2,2470
22,3,9,3818.2,2315
22,3,10,3818.2,1880
22,3,11,3818.2,2060
22,3,12,3818.2,2100
16,4,1,2051.4,1700
16,4,2,2051.4,1800
16,4,3,2051.4,1800
16,4,4,2051.4,1650
16,4,5,2051.4,1800
16,4,6,2051.4,1850
16,4,7,2051.4,1800
16,4,8,2051.4,1800
16,4,9,2051.4,1800
16,4,10,2051.4,1800
16,4,11,2051.4,1900
16,4,12,2051.4,1850
17,4,1,2051.4,1900
17,4,2,2051.4,1750
17,4,3,2051.4,1600
17,4,4,2051.4,1650
17,4,5,2051.4,1600
17,4,6,2051.4,1600
17,4,7,2051.4,1700
17,4,8,2051.4,1700
17,4,9,2051.4,1550
17,4,10,2051.4,1700
17,4,11,2051.4,1700
17,4,12,2051.4,1700
18,4,1,2051.4,1700
18,4,2,2051.4,1750
18,4,3,2051.4,1650
18,4,4,1266.7,1650
18,4,5,1266.7,1700
18,4,6,1266.7,1850
18,4,7,1266.7,2050
18,4,8,1266.7,1950
18,4,9,1266.7,2000
18,4,10,1266.7,2100
18,4,11,1266.7,2150
18,4,12,1266.7,2200
19,4,1,1266.7,2200
19,4,2,1266.7,1950
19,4,3,1266.7,2000
19,4,4,1266.7,2000
19,4,5,1266.7,1900
19,4,6,1266.7,1850
19,4,7,1266.7,2000
19,4,8,1266.7,2100
19,4,9,1266.7,1950
19,4,10,1266.7,1950
19,4,11,1266.7,2100
19,4,12,1266.7,2100
20,4,1,1266.7,2100
20,4,2,1266.7,1950
20,4,3,1266.7,1950
20,4,4,1266.7,1700
20,4,5,1266.7,1750
20,4,6,1266.7,1800
20,4,7,1266.7,1800
20,4,8,1266.7,1600
20,4,9,1266.7,1500
20,4,10,3252.4,1650
20,4,11,3252.4,1650
20,4,12,3252.4,1550
21,4,1,3252.4,1650
21,4,2,3252.4,1650
21,4,3,3818.2,1650
21,4,4,3818.2,1750
21,4,5,3818.2,1700
21,4,6,3818.2,1750
21,4,7,3818.2,1800
21,4,8,3818.2,1850
21,4,9,3818.2,1900
21,4,10,3818.2,1900
21,4,11,3818.2,2000
21,4,12,3818.2,2000
22,4,1,3818.2,2000
22,4,2,3818.2,2000
22,4,3,3818.2,2250
22,4,4,3818.2,2400
22,4,5,3818.2,2250
22,4,6,3818.2,2200
22,4,7,3818.2,2300
22,4,8,3818.2,2450
22,4,9,3818.2,2400
22,4,10,3818.2,2500
22,4,11,3818.2,2750
22,4,12,3818.2,2750
16,5,1,2051.4,1425
16,5,2,2051.4,1450
16,5,3,2051.4,1300
16,5,4,2051.4,1557
16,5,5,2051.4,1600
16,5,6,2051.4,1620
16,5,7,2051.4,1650
16,5,8,2051.4,1750
16,5,9,2051.4,1750
16,5,10,2051.4,1700
16,5,11,2051.4,1895
16,5,12,2051.4,1815
17,5,1,2051.4,1900
17,5,2,2051.4,1800
17,5,3,2051.4,1384
17,5,4,2051.4,1385
17,5,5,2051.4,1400
17,5,6,2051.4,1450
17,5,7,2051.4,1400
17,5,8,2051.4,1410
17,5,9,2051.4,1450
17,5,10,2051.4,1440
17,5,11,2051.4,1450
17,5,12,2051.4,1400
18,5,1,2051.4,1400
18,5,2,2051.4,1356
18,5,3,2051.4,1216
18,5,4,1266.7,1307
18,5,5,1266.7,1359
18,5,6,1266.7,1459
18,5,7,1266.7,1436
18,5,8,1266.7,1565
18,5,9,1266.7,1575
18,5,10,1266.7,1585
18,5,11,1266.7,1585
18,5,12,1266.7,1585
19,5,1,1266.7,1585
19,5,2,1266.7,1585
19,5,3,1266.7,1585
19,5,4,1266.7,1703
19,5,5,1266.7,1700
19,5,6,1266.7,1720
19,5,7,1266.7,1725
19,5,8,1266.7,1720
19,5,9,1266.7,1700
19,5,10,1266.7,1950
19,5,11,1266.7,1900
19,5,12,1266.7,2200
20,5,1,1266.7,2400
20,5,2,1266.7,2300
20,5,3,1266.7,2500
20,5,4,1266.7,2600
20,5,5,1266.7,2600
20,5,6,1266.7,3000
20,5,7,1266.7,3000
20,5,8,1266.7,3550
20,5,9,1266.7,3500
20,5,10,3252.4,3200
20,5,11,3252.4,3200
20,5,12,3252.4,3215
21,5,1,3252.4,3200
21,5,2,3252.4,3110
21,5,3,3818.2,3100
21,5,4,3818.2,3200
21,5,5,3818.2,3200
21,5,6,3818.2,3250
21,5,7,3818.2,3300
21,5,8,3818.2,3210
21,5,9,3818.2,3200
21,5,10,3818.2,3210
21,5,11,3818.2,3000
21,5,12,3818.2,3800
22,5,1,3818.2,3200
22,5,2,3818.2,3100
22,5,3,3818.2,2700
22,5,4,3818.2,2500
22,5,5,3818.2,2700
22,5,6,3818.2,2750
22,5,7,3818.2,2700
22,5,8,3818.2,2600
22,5,9,3818.2,2190
22,5,10,3818.2,2200
22,5,11,3818.2,2200
22,5,12,3818.2,2200
16,6,1,2051.4,4100
16,6,2,2051.4,4000
16,6,3,2051.4,4200
16,6,4,2051.4,5415
16,6,5,2051.4,5785
16,6,6,2051.4,6500
16,6,7,2051.4,7500
16,6,8,2051.4,7000
16,6,9,2051.4,7300
16,6,10,2051.4,7400
16,6,11,2051.4,8350
16,6,12,2051.4,7500
17,6,1,2051.4,6500
17,6,2,2051.4,5500
17,6,3,2051.4,5500
17,6,4,2051.4,5200
17,6,5,2051.4,4800
17,6,6,2051.4,4700
17,6,7,2051.4,4800
17,6,8,2051.4,5050
17,6,9,2051.4,5500
17,6,10,2051.4,5200
17,6,11,2051.4,4800
17,6,12,2051.4,3700
18,6,1,2051.4,4800
18,6,2,2051.4,4950
18,6,3,2051.4,4650
18,6,4,1266.7,4750
18,6,5,1266.7,4900
18,6,6,1266.7,5150
18,6,7,1266.7,5300
18,6,8,1266.7,4800
18,6,9,1266.7,4900
18,6,10,1266.7,5050
18,6,11,1266.7,5150
18,6,12,1266.7,5650
19,6,1,1266.7,5650
19,6,2,1266.7,5700
19,6,3,1266.7,5750
19,6,4,1266.7,5650
19,6,5,1266.7,5600
19,6,6,1266.7,5650
19,6,7,1266.7,5600
19,6,8,1266.7,5200
19,6,9,1266.7,5050
19,6,10,1266.7,5400
19,6,11,1266.7,5200
19,6,12,1266.7,5300
20,6,1,1266.7,3500
20,6,2,1266.7,3700
20,6,3,1266.7,3500
20,6,4,1266.7,3800
20,6,5,1266.7,3700
20,6,6,1266.7,4050
20,6,7,1266.7,3800
20,6,8,1266.7,4000
20,6,9,1266.7,4700
20,6,10,3252.4,4600
20,6,11,3252.4,4200
20,6,12,3252.4,4000
21,6,1,3252.4,4050
21,6,2,3252.4,4000
21,6,3,3818.2,4450
21,6,4,3818.2,4850
21,6,5,3818.2,4500
21,6,6,3818.2,4450
21,6,7,3818.2,4700
21,6,8,3818.2,4500
21,6,9,3818.2,4550
21,6,10,3818.2,4800
21,6,11,3818.2,4550
21,6,12,3818.2,3600
22,6,1,3818.2,4050
22,6,2,3818.2,4100
22,6,3,3818.2,4300
22,6,4,3818.2,5050
22,6,5,3818.2,4550
22,6,6,3818.2,4100
22,6,7,3818.2,4200
22,6,8,3818.2,4350
22,6,9,3818.2,4300
22,6,10,3818.2,4300
22,6,11,3818.2,4400
22,6,12,3818.2,4700
16,7,1,2051.4,8550
16,7,2,2051.4,7550
16,7,3,2051.4,8000
16,7,4,2051.4,8700
16,7,5,2051.4,8400
16,7,6,2051.4,8500
16,7,7,2051.4,8000
16,7,8,2051.4,6200
16,7,9,2051.4,7000
16,7,10,2051.4,6250
16,7,11,2051.4,5700
16,7,12,2051.4,4500
17,7,1,2051.4,4300
17,7,2,2051.4,4300
17,7,3,2051.4,4300
17,7,4,2051.4,3900
17,7,5,2051.4,3750
17,7,6,2051.4,3550
17,7,7,2051.4,3500
17,7,8,2051.4,4300
17,7,9,2051.4,4000
17,7,10,2051.4,3700
17,7,11,2051.4,3800
17,7,12,2051.4,4250
18,7,1,2051.4,4250
18,7,2,2051.4,4250
18,7,3,2051.4,4100
18,7,4,1266.7,3750
18,7,5,1266.7,3800
18,7,6,1266.7,3550
18,7,7,1266.7,3600
18,7,8,1266.7,3550
18,7,9,1266.7,3500
18,7,10,1266.7,3650
18,7,11,1266.7,4300
18,7,12,1266.7,4500
19,7,1,1266.7,5100
19,7,2,1266.7,5000
19,7,3,1266.7,5100
19,7,4,1266.7,5400
19,7,5,1266.7,5900
19,7,6,1266.7,5600
19,7,7,1266.7,5700
19,7,8,1266.7,5600
19,7,9,1266.7,5450
19,7,10,1266.7,4900
19,7,11,1266.7,4650
19,7,12,1266.7,4750
20,7,1,1266.7,4450
20,7,2,1266.7,5100
20,7,3,1266.7,5050
20,7,4,1266.7,5300
20,7,5,1266.7,5100
20,7,6,1266.7,5700
20,7,7,1266.7,5700
20,7,8,1266.7,5900
20,7,9,1266.7,6500
20,7,10,3252.4,5950
20,7,11,3252.4,5600
20,7,12,3252.4,5200
21,7,1,3252.4,5800
21,7,2,3252.4,6800
21,7,3,3818.2,6400
21,7,4,3818.2,6800
21,7,5,3818.2,6350
21,7,6,3818.2,6200
21,7,7,3818.2,6000
21,7,8,3818.2,6450
21,7,9,3818.2,6000
21,7,10,3818.2,5600
21,7,11,3818.2,5750
21,7,12,3818.2,5200
22,7,1,3818.2,6500
22,7,2,3818.2,6200
22,7,3,3818.2,5900
22,7,4,3818.2,6000
22,7,5,3818.2,5700
22,7,6,3818.2,6100
22,7,7,3818.2,7000
22,7,8,3818.2,7000
22,7,9,3818.2,7100
22,7,10,3818.2,7100
22,7,11,3818.2,6900
22,7,12,3818.2,7100
16,8,1,2051.4,9000
16,8,2,2051.4,8700
16,8,3,2051.4,8700
16,8,4,2051.4,9500
16,8,5,2051.4,8000
16,8,6,2051.4,8000
16,8,7,2051.4,7400
16,8,8,2051.4,6750
16,8,9,2051.4,6550
16,8,10,2051.4,6450
16,8,11,2051.4,6250
16,8,12,2051.4,6600
17,8,1,2051.4,6400
17,8,2,2051.4,6000
17,8,3,2051.4,6300
17,8,4,2051.4,6800
17,8,5,2051.4,6850
17,8,6,2051.4,6650
17,8,7,2051.4,6400
17,8,8,2051.4,6300
17,8,9,2051.4,6400
17,8,10,2051.4,6400
17,8,11,2051.4,6300
17,8,12,2051.4,6600
18,8,1,2051.4,6300
18,8,2,2051.4,6500
18,8,3,2051.4,6700
18,8,4,1266.7,6700
18,8,5,1266.7,6600
18,8,6,1266.7,6400
18,8,7,1266.7,6800
18,8,8,1266.7,6600
18,8,9,1266.7,6800
18,8,10,1266.7,6900
18,8,11,1266.7,7500
18,8,12,1266.7,7500
19,8,1,1266.7,7500
19,8,2,1266.7,7600
19,8,3,1266.7,7500
19,8,4,1266.7,7700
19,8,5,1266.7,7800
19,8,6,1266.7,8400
19,8,7,1266.7,8500
19,8,8,1266.7,8500
19,8,9,1266.7,8800
19,8,10,1266.7,9000
19,8,11,1266.7,9100
19,8,12,1266.7,9500
20,8,1,1266.7,10000
20,8,2,1266.7,10000
20,8,3,1266.7,11000
20,8,4,1266.7,12200
20,8,5,1266.7,12200
20,8,6,1266.7,12000
20,8,7,1266.7,10900
20,8,8,1266.7,10000
20,8,9,1266.7,10000
20,8,10,3252.4,10000
20,8,11,3252.4,10300
20,8,12,3252.4,10400
21,8,1,3252.4,10900
21,8,2,3252.4,11000
21,8,3,3818.2,10500
21,8,4,3818.2,11000
21,8,5,3818.2,10800
21,8,6,3818.2,10100
21,8,7,3818.2,9100
21,8,8,3818.2,9000
21,8,9,3818.2,9700
21,8,10,3818.2,10200
21,8,11,3818.2,10200
21,8,12,3818.2,10300
22,8,1,3818.2,9500
22,8,2,3818.2,9400
22,8,3,3818.2,9500
22,8,4,3818.2,9750
22,8,5,3818.2,10100
22,8,6,3818.2,10300
22,8,7,3818.2,10000
22,8,8,3818.2,10100
22,8,9,3818.2,10000
22,8,10,3818.2,10000
22,8,11,3818.2,9800
22,8,12,3818.2,10000
16,9,1,2051.4,14100
16,9,2,2051.4,13600
16,9,3,2051.4,13300
16,9,4,2051.4,15800
16,9,5,2051.4,15500
16,9,6,2051.4,15350
16,9,7,2051.4,14100
16,9,8,2051.4,12300
16,9,9,2051.4,11150
16,9,10,2051.4,9850
16,9,11,2051.4,9400
16,9,12,2051.4,8500
17,9,1,2051.4,8650
17,9,2,2051.4,7850
17,9,3,2051.4,7750
17,9,4,2051.4,8800
17,9,5,2051.4,8150
17,9,6,2051.4,7400
17,9,7,2051.4,6950
17,9,8,2051.4,6600
17,9,9,2051.4,6600
17,9,10,2051.4,6400
17,9,11,2051.4,5600
17,9,12,2051.4,6000
18,9,1,2051.4,5800
18,9,2,2051.4,5800
18,9,3,2051.4,6000
18,9,4,1266.7,5700
18,9,5,1266.7,5200
18,9,6,1266.7,4750
18,9,7,1266.7,5000
18,9,8,1266.7,5000
18,9,9,1266.7,5100
18,9,10,1266.7,5300
18,9,11,1266.7,6100
18,9,12,1266.7,5800
19,9,1,1266.7,6200
19,9,2,1266.7,5800
19,9,3,1266.7,5600
19,9,4,1266.7,5900
19,9,5,1266.7,5800
19,9,6,1266.7,6000
19,9,7,1266.7,6000
19,9,8,1266.7,6000
19,9,9,1266.7,6100
19,9,10,1266.7,6800
19,9,11,1266.7,8000
19,9,12,1266.7,8000
20,9,1,1266.7,10000
20,9,2,1266.7,9800
20,9,3,1266.7,9400
20,9,4,1266.7,9600
20,9,5,1266.7,9000
20,9,6,1266.7,8500
20,9,7,1266.7,7800
20,9,8,1266.7,7500
20,9,9,1266.7,7900
20,9,10,3252.4,9100
20,9,11,3252.4,9000
20,9,12,3252.4,9200
21,9,1,3252.4,9500
21,9,2,3252.4,9700
21,9,3,3818.2,10300
21,9,4,3818.2,10500
21,9,5,3818.2,9900
21,9,6,3818.2,9600
21,9,7,3818.2,8600
21,9,8,3818.2,9500
21,9,9,3818.2,9400
21,9,10,3818.2,9200
21,9,11,3818.2,9500
21,9,12,3818.2,9500
22,9,1,3818.2,9800
22,9,2,3818.2,9700
22,9,3,3818.2,9500
22,9,4,3818.2,9500
22,9,5,3818.2,9550
22,9,6,3818.2,9500
22,9,7,3818.2,9000
22,9,8,3818.2,9100
22,9,9,3818.2,10000
22,9,10,3818.2,10000
22,9,11,3818.2,10000
22,9,12,3818.2,9500
